Cycle,Battery#1,Battery#2,Battery#3,#1_SOH,#2_SOH,#3_SOH
75,1.0813411,1.0856991,1.0763264,0.983037364,0.986999182,0.897271984
76,1.0812777,1.0856384,1.0762902,0.982979727,0.986944,0.897221818
77,1.0812092,1.0855706,1.0763192,0.982917455,0.986882364,0.897165785
78,1.0811901,1.0855303,1.0762045,0.982900091,0.986845727,0.897132479
79,1.0811335,1.0854447,1.0762365,0.982848636,0.986767909,0.897061735
80,1.0810794,1.0853778,1.0762444,0.982799455,0.986707091,0.897006446
81,1.0810466,1.0853372,1.0761995,0.982769636,0.986670182,0.896972893
82,1.0809687,1.085281,1.0761882,0.982698818,0.986619091,0.896926446
83,1.0809135,1.0851364,1.0762265,0.982648636,0.986487636,0.896806942
84,1.0809121,1.0851827,1.0763329,0.982647364,0.986529727,0.896845206
85,1.0808662,1.0851971,1.0760512,0.982605636,0.986542818,0.896857107
86,1.0808834,1.0852234,1.0762264,0.982621273,0.986566727,0.896878843
87,1.080853,1.0852056,1.076053,0.982593636,0.986550545,0.896864132
88,1.0809195,1.0852865,1.0749464,0.982654091,0.986624091,0.896930992
89,1.0809104,1.085299,1.0761249,0.982645818,0.986635455,0.896941323
90,1.0809323,1.0852487,1.0760405,0.982665727,0.986589727,0.896899752
91,1.0810022,1.0853715,1.0748079,0.982729273,0.986701364,0.89700124
92,1.0809057,1.0852418,1.0759902,0.982641545,0.986583455,0.89689405
93,1.0809215,1.0852273,1.0758985,0.982655909,0.986570273,0.896882066
94,1.0809017,1.0852255,1.0758245,0.982637909,0.986568636,0.896880578
95,1.0808159,1.08509,1.0758753,0.982559909,0.986445455,0.896768595
96,1.0807959,1.0851239,1.0758419,0.982541727,0.986476273,0.896796612
97,1.0806749,1.0850123,1.0759112,0.982431727,0.986374818,0.89670438
98,1.0806487,1.0849537,1.0758784,0.982407909,0.986321545,0.89665595
99,1.0806297,1.0849404,1.0759126,0.982390636,0.986309455,0.896644959
100,1.0806502,1.0849447,1.0758415,0.982409273,0.986313364,0.896648513
101,1.0806355,1.0849578,1.0757886,0.982395909,0.986325273,0.896659339
102,1.080663,1.0849718,1.0758218,0.982420909,0.986338,0.896670909
103,1.0806745,1.084981,1.0757833,0.982431364,0.986346364,0.896678513
104,1.0807188,1.0851059,1.0758278,0.982471636,0.986459909,0.896781735
105,1.0806472,1.0849565,1.0758644,0.982406545,0.986324091,0.896658265
106,1.0805749,1.0849079,1.0756383,0.982340818,0.986279909,0.896618099
107,1.0805452,1.0848944,1.0757459,0.982313818,0.986267636,0.896606942
108,1.0805323,1.0848737,1.0757282,0.982302091,0.986248818,0.896589835
109,1.0804729,1.0847815,1.0756657,0.982248091,0.986165,0.896513636
110,1.0804,1.0847218,1.0756232,0.982181818,0.986110727,0.896464297
111,1.0803393,1.084612,1.0756211,0.982126636,0.986010909,0.896373554
112,1.0803374,1.0845947,1.0756699,0.982124909,0.985995182,0.896359256
113,1.0803201,1.0845439,1.0755961,0.982109182,0.985949,0.896317273
114,1.0802414,1.0844989,1.0741987,0.982037636,0.985908091,0.896280083
115,1.0802473,1.0845442,1.0756382,0.982043,0.985949273,0.896317521
116,1.080231,1.0845171,1.0756032,0.982028182,0.985924636,0.896295124
117,1.0801288,1.0844411,1.0755146,0.981935273,0.985855545,0.896232314
118,1.0801314,1.0844105,1.0755045,0.981937636,0.985827727,0.896207025
119,1.0803328,1.0845937,1.0753888,0.982120727,0.985994273,0.89635843
120,1.0803525,1.0846987,1.0752513,0.982138636,0.986089727,0.896445206
121,1.0803212,1.0846695,1.075214,0.982110182,0.986063182,0.896421075
122,1.080315,1.084641,1.0752245,0.982104545,0.986037273,0.896397521
123,1.0802521,1.0845835,1.0751811,0.982047364,0.985985,0.89635
124,1.0801622,1.0844946,1.0752125,0.981965636,0.985904182,0.896276529
125,1.0802071,1.0844939,1.0752281,0.982006455,0.985903545,0.89627595
126,1.0801412,1.0845144,1.07524,0.981946545,0.985922182,0.896292893
127,1.0800964,1.0844651,1.0752876,0.981905818,0.985877364,0.896252149
128,1.0801266,1.0844644,1.0752187,0.981933273,0.985876727,0.89625157
129,1.0801144,1.0844282,1.075147,0.981922182,0.985843818,0.896221653
130,1.080099,1.0844687,1.0751264,0.981908182,0.985880636,0.896255124
131,1.0800577,1.0844334,1.0737574,0.981870636,0.985848545,0.89622595
132,1.0799779,1.0843452,1.0747384,0.981798091,0.985768364,0.896153058
133,1.0798699,1.0841988,1.0744451,0.981699909,0.985635273,0.896032066
134,1.0798607,1.0842357,1.0728469,0.981691545,0.985668818,0.896062562
135,1.0798086,1.0841705,1.0728441,0.981644182,0.985609545,0.896008677
136,1.0797741,1.084155,1.07452,0.981612818,0.985595455,0.895995868
137,1.0797648,1.0841643,1.073329,0.981604364,0.985603909,0.896003554
138,1.0797896,1.0842218,1.0747689,0.981626909,0.985656182,0.896051075
139,1.0797476,1.0841625,1.0747482,0.981588727,0.985602273,0.896002066
140,1.0797325,1.0841635,1.0710337,0.981575,0.985603182,0.896002893
141,1.0796613,1.0841109,1.0746664,0.981510273,0.985555364,0.895959422
142,1.0795732,1.0840343,1.0747198,0.981430182,0.985485727,0.895896115
143,1.0795051,1.0839545,1.0746906,0.981368273,0.985413182,0.895830165
144,1.0794517,1.0838717,1.0721986,0.981319727,0.985337909,0.895761735
145,1.0794413,1.0839056,1.0733948,0.981310273,0.985368727,0.895789752
146,1.0794613,1.0839182,1.0745389,0.981328455,0.985380182,0.895800165
147,1.0795257,1.0839571,1.0743873,0.981387,0.985415545,0.895832314
148,1.0795374,1.0839593,1.0740879,0.981397636,0.985417545,0.895834132
149,1.0795468,1.0839598,1.0744152,0.981406182,0.985418,0.895834545
150,1.0793943,1.0837967,1.074378,0.981267545,0.985269727,0.895699752
151,1.0793138,1.0836318,1.0743593,0.981194364,0.985119818,0.895563471
152,1.0792543,1.0836512,1.0742767,0.981140273,0.985137455,0.895579505
153,1.0792733,1.083616,1.0742306,0.981157545,0.985105455,0.895550414
154,1.0792607,1.0836091,1.0739679,0.981146091,0.985099182,0.895544711
155,1.0792705,1.0835862,1.0732156,0.981155,0.985078364,0.895525785
156,1.0792338,1.0835845,1.0736821,0.981121636,0.985076818,0.89552438
157,1.0791656,1.0835835,1.0737848,0.981059636,0.985075909,0.895523554
158,1.0792696,1.0836748,1.0738961,0.981154182,0.985158909,0.895599008
159,1.0792631,1.0836439,1.0742747,0.981148273,0.985130818,0.895573471
160,1.0792441,1.0836015,1.0730073,0.981131,0.985092273,0.89553843
161,1.0792354,1.0836121,1.0730597,0.981123091,0.985101909,0.89554719
162,1.0791804,1.0835544,1.0715735,0.981073091,0.985049455,0.895499505
163,1.0791258,1.0834684,1.071436,0.981023455,0.984971273,0.89542843
164,1.0790781,1.0834323,1.0687023,0.980980091,0.984938455,0.895398595
165,1.0790321,1.0833755,1.0677084,0.980938273,0.984886818,0.895351653
166,1.0789585,1.0832872,1.0725,0.980871364,0.984806545,0.895278677
167,1.0789031,1.0832012,1.0736258,0.980821,0.984728364,0.895207604
168,1.0788951,1.0832188,1.0730176,0.980813727,0.984744364,0.895222149
169,1.0788661,1.0832297,1.0737669,0.980787364,0.984754273,0.895231157
170,1.0789065,1.0832256,1.0739388,0.980824091,0.984750545,0.895227768
171,1.0790746,1.0834041,1.0714852,0.980976909,0.984912818,0.895375289
172,1.0790883,1.0834444,1.0713842,0.980989364,0.984949455,0.895408595
173,1.0790173,1.0833941,1.0700154,0.980924818,0.984903727,0.895367025
174,1.0788677,1.0832394,1.0639316,0.980788818,0.984763091,0.895239174
175,1.0787734,1.0831283,1.0678089,0.980703091,0.984662091,0.895147355
176,1.0787362,1.083111,1.0715845,0.980669273,0.984646364,0.895133058
177,1.0786883,1.0830775,1.0691396,0.980625727,0.984615909,0.895105372
178,1.0788336,1.0831956,1.07152,0.980757818,0.984723273,0.895202975
179,1.0789466,1.0833586,1.0702107,0.980860545,0.984871455,0.895337686
180,1.0790043,1.0833983,1.0714779,0.980913,0.984907545,0.895370495
181,1.0789996,1.0833951,1.0737666,0.980908727,0.984904636,0.895367851
182,1.0789684,1.0833685,1.0734777,0.980880364,0.984880455,0.895345868
183,1.0788578,1.0832517,1.0734123,0.980779818,0.984774273,0.895249339
184,1.0787761,1.0831751,1.0733159,0.980705545,0.984704636,0.895186033
185,1.0785502,1.082966,1.0732638,0.980500182,0.984514545,0.895013223
186,1.0785975,1.0830148,1.0731425,0.980543182,0.984558909,0.895053554
187,1.0786096,1.0830317,1.072943,0.980554182,0.984574273,0.895067521
188,1.0785203,1.0829775,1.0719339,0.980473,0.984525,0.895022727
189,1.0784601,1.0829014,1.0716102,0.980418273,0.984455818,0.894959835
190,1.0784056,1.0828805,1.0724705,0.980368727,0.984436818,0.894942562
191,1.0783468,1.0828025,1.0728638,0.980315273,0.984365909,0.894878099
192,1.0783235,1.0827243,1.0730959,0.980294091,0.984294818,0.894813471
193,1.0782559,1.0826709,1.0696446,0.980232636,0.984246273,0.894769339
194,1.0781775,1.082625,1.0709413,0.980161364,0.984204545,0.894731405
195,1.0782001,1.0826198,1.0647488,0.980181909,0.984199818,0.894727107
196,1.0782014,1.0826597,1.067211,0.980183091,0.984236091,0.894760083
197,1.0781834,1.0827546,1.0692852,0.980166727,0.984322364,0.894838513
198,1.0784652,1.082886,1.0644047,0.980422909,0.984441818,0.894947107
199,1.0784538,1.082866,1.0692478,0.980412545,0.984423636,0.894930578
200,1.0783129,1.0827211,1.0729612,0.980284455,0.984291909,0.894810826
201,1.0781006,1.0825498,1.0719513,0.980091455,0.984136182,0.894669256
202,1.0780586,1.0824825,1.0734826,0.980053273,0.984075,0.894613636
203,1.0779577,1.0823528,1.0711106,0.979961545,0.983957091,0.894506446
204,1.0781268,1.0825661,1.0728359,0.980115273,0.984151,0.894682727
205,1.0783508,1.0827576,1.0686156,0.980318909,0.984325091,0.894840992
206,1.0784787,1.0828853,1.0722553,0.980435182,0.984441182,0.894946529
207,1.0785102,1.0829602,1.0722088,0.980463818,0.984509273,0.89500843
208,1.0785191,1.0829967,1.0730858,0.980471909,0.984542455,0.895038595
209,1.078465,1.0829171,1.0728866,0.980422727,0.984470091,0.89497281
210,1.0783726,1.0828224,1.0728358,0.980338727,0.984384,0.894894545
211,1.078195,1.0825667,1.0728077,0.980177273,0.984151545,0.894683223
212,1.077841,1.0822521,1.07278,0.979855455,0.983865545,0.894423223
213,1.0777873,1.0822057,1.0726694,0.979806636,0.983823364,0.894384876
214,1.0777465,1.0821924,1.0725751,0.979769545,0.983811273,0.894373885
215,1.0776659,1.0821195,1.0714912,0.979696273,0.983745,0.894313636
216,1.077572,1.0820826,1.0725292,0.979610909,0.983711455,0.894283141
217,1.0775523,1.082072,1.0722562,0.979593,0.983701818,0.89427438
218,1.0775352,1.0820191,1.0722263,0.979577455,0.983653727,0.894230661
219,1.077489,1.0819827,1.0702997,0.979535455,0.983620636,0.894200578
220,1.0774752,1.0819182,1.0709004,0.979522909,0.983562,0.894147273
221,1.0774668,1.0819069,1.0717547,0.979515273,0.983551727,0.894137934
222,1.0775013,1.0819478,1.0720819,0.979546636,0.983588909,0.894171735
223,1.0775459,1.0819904,1.0726638,0.979587182,0.983627636,0.894206942
224,1.077698,1.0821501,1.0686629,0.979725455,0.983772818,0.894338925
225,1.0777867,1.0822335,1.0687469,0.979806091,0.983848636,0.894407851
226,1.0776162,1.0820882,1.0661069,0.979651091,0.983716545,0.894287768
227,1.0774209,1.0819136,1.0659326,0.979473545,0.983557818,0.894143471
228,1.0772518,1.081772,1.0679137,0.979319818,0.983429091,0.894026446
229,1.0771765,1.0817499,1.0685478,0.979251364,0.983409,0.894008182
230,1.0771741,1.0817292,1.0715339,0.979249182,0.983390182,0.893991075
231,1.0772705,1.0818614,1.0725104,0.979336818,0.983510364,0.894100331
232,1.0773777,1.081985,1.0724415,0.979434273,0.983622727,0.894202479
233,1.0774446,1.0820019,1.0723016,0.979495091,0.983638091,0.894216446
234,1.0774491,1.0819705,1.07228,0.979499182,0.983609545,0.894190495
235,1.0774158,1.0819284,1.0659735,0.979468909,0.983571273,0.894155703
236,1.0773504,1.0818729,1.0707749,0.979409455,0.983520818,0.894109835
237,1.0772904,1.0817831,1.0695169,0.979354909,0.983439182,0.89403562
238,1.0770903,1.0815554,1.0634056,0.979173,0.983232182,0.893847438
239,1.0770547,1.081557,1.0694402,0.979140636,0.983233636,0.89384876
240,1.0770125,1.0815039,1.0681522,0.979102273,0.983185364,0.893804876
241,1.0769674,1.0814655,1.0705171,0.979061273,0.983150455,0.893773141
242,1.0768939,1.0814321,1.0715264,0.978994455,0.983120091,0.893745537
243,1.0768212,1.0813533,1.0711093,0.978928364,0.983048455,0.893680414
244,1.0767306,1.0812635,1.0713196,0.978846,0.982966818,0.893606198
245,1.0766762,1.0811942,1.0713376,0.978796545,0.982903818,0.893548925
246,1.0766544,1.0811816,1.0714476,0.978776727,0.982892364,0.893538513
247,1.0766096,1.0811607,1.0713531,0.978736,0.982873364,0.89352124
248,1.0766743,1.0811775,1.0716952,0.978794818,0.982888636,0.893535124
249,1.0766734,1.0812087,1.071188,0.978794,0.982917,0.893560909
250,1.0767171,1.0812902,1.0692111,0.978833727,0.982991091,0.893628265
251,1.0768607,1.081394,1.0694512,0.978964273,0.983085455,0.89371405
252,1.0767988,1.0813817,1.0713137,0.978908,0.983074273,0.893703885
253,1.0766858,1.081237,1.0665704,0.978805273,0.982942727,0.893584297
254,1.076441,1.0810921,1.0716691,0.978582727,0.982811,0.893464545
255,1.0764432,1.0810554,1.06809,0.978584727,0.982777636,0.893434215
256,1.0763679,1.0809911,1.0522044,0.978516273,0.982719182,0.893381075
257,1.0763994,1.0810324,1.0594097,0.978544909,0.982756727,0.893415206
258,1.0765815,1.0811806,1.062722,0.978710455,0.982891455,0.893537686
259,1.0766946,1.0812634,1.065221,0.978813273,0.982966727,0.893606115
260,1.0766741,1.081328,1.0675694,0.978794636,0.983025455,0.893659505
261,1.0766497,1.0812821,1.0713251,0.978772455,0.982983727,0.89362157
262,1.0765942,1.0812389,1.070654,0.978722,0.982944455,0.893585868
263,1.076591,1.0811999,1.070429,0.978719091,0.982909,0.893553636
264,1.0764062,1.0810305,1.0698726,0.978551091,0.982755,0.893413636
265,1.0761794,1.0808043,1.0674539,0.978344909,0.982549364,0.893226695
266,1.0762528,1.0808034,1.067901,0.978411636,0.982548545,0.89322595
267,1.0761791,1.0807306,1.0710255,0.978344636,0.982482364,0.893165785
268,1.0761017,1.0806446,1.0709585,0.978274273,0.982404182,0.893094711
269,1.0760368,1.0806009,1.0709193,0.978215273,0.982364455,0.893058595
270,1.07595,1.0805367,1.0708414,0.978136364,0.982306091,0.893005537
271,1.0759057,1.0804774,1.0697244,0.978096091,0.982252182,0.892956529
272,1.0758588,1.0804427,1.0704929,0.978053455,0.982220636,0.892927851
273,1.0757933,1.0803565,1.0707847,0.977993909,0.982142273,0.892856612
274,1.0757918,1.0803546,1.070703,0.977992545,0.982140545,0.892855041
275,1.0757444,1.0802795,1.0706118,0.977949455,0.982072273,0.892792975
276,1.0757467,1.0803242,1.0700974,0.977951545,0.982112909,0.892829917
277,1.0758823,1.0804303,1.070269,0.978074818,0.982209364,0.892917604
278,1.075914,1.0804815,1.0699091,0.978103636,0.982255909,0.892959917
279,1.0758315,1.0803753,1.0699389,0.978028636,0.982159364,0.892872149
280,1.0757306,1.0803001,1.0691898,0.977936909,0.982091,0.89281
281,1.075725,1.080274,1.0666218,0.977931818,0.982067273,0.89278843
282,1.0756117,1.0801617,1.0662863,0.977828818,0.981965182,0.89269562
283,1.0755854,1.0801622,1.0651459,0.977804909,0.981965636,0.892696033
284,1.07567,1.0802788,1.0691012,0.977881818,0.982071636,0.892792396
285,1.0757643,1.0803787,1.0685273,0.977967545,0.982162455,0.892874959
286,1.0759091,1.0804796,1.0708722,0.978099182,0.982254182,0.892958347
287,1.0759318,1.0804931,1.0689743,0.978119818,0.982266455,0.892969505
288,1.0759945,1.0804921,1.0695846,0.978176818,0.982265545,0.892968677
289,1.0759889,1.0804945,1.0698013,0.978171727,0.982267727,0.892970661
290,1.0760155,1.0804992,1.0701363,0.978195909,0.982272,0.892974545
291,1.0757146,1.0802017,1.0700173,0.977922364,0.982001545,0.892728677
292,1.0754582,1.0799431,1.0698297,0.977689273,0.981766455,0.892514959
293,1.0755191,1.0800202,1.0646312,0.977744636,0.981836545,0.892578677
294,1.0754433,1.0799611,1.06767,0.977675727,0.981782818,0.892529835
295,1.0753623,1.0798849,1.0670372,0.977602091,0.981713545,0.892466859
296,1.0753679,1.0798502,1.0699611,0.977607182,0.981682,0.892438182
297,1.0752826,1.0797974,1.0698364,0.977529636,0.981634,0.892394545
298,1.0752267,1.0797426,1.0697434,0.977478818,0.981584182,0.892349256
299,1.0751759,1.0797074,1.0696157,0.977432636,0.981552182,0.892320165
300,1.0750923,1.0796536,1.0698825,0.977356636,0.981503273,0.892275703
301,1.0750625,1.0796152,1.0698853,0.977329545,0.981468364,0.892243967
302,1.0750893,1.0795829,1.0691276,0.977353909,0.981439,0.892217273
303,1.0750437,1.0795734,1.0667444,0.977312455,0.981430364,0.892209422
304,1.07503,1.0795425,1.0688608,0.9773,0.981402273,0.892183885
305,1.0749415,1.0795106,1.0691419,0.977219545,0.981373273,0.892157521
306,1.07499,1.0796015,1.0691915,0.977263636,0.981455909,0.892232645
307,1.07499,1.0795869,1.0696068,0.977263636,0.981442636,0.892220578
308,1.0750219,1.0796043,1.0696694,0.977292636,0.981458455,0.892234959
309,1.0747842,1.0794106,1.0684117,0.977076545,0.981282364,0.892074876
310,1.0747573,1.0793735,1.0692772,0.977052091,0.981248636,0.892044215
311,1.0748076,1.0793947,1.0628723,0.977097818,0.981267909,0.892061735
312,1.074843,1.0794339,1.064725,0.97713,0.981303545,0.892094132
313,1.0748973,1.0794876,1.0648649,0.977179364,0.981352364,0.892138513
314,1.0749114,1.0794756,1.0690352,0.977192182,0.981341455,0.892128595
315,1.0748553,1.0794482,1.0684961,0.977141182,0.981316545,0.89210595
316,1.0748824,1.0794613,1.0693339,0.977165818,0.981328455,0.892116777
317,1.0747553,1.0793372,1.0693139,0.977050273,0.981215636,0.892014215
318,1.074572,1.0791411,1.0693067,0.976883636,0.981037364,0.891852149
319,1.0745397,1.0791093,1.0693525,0.976854273,0.981008455,0.891825868
320,1.0744972,1.0790737,1.0679969,0.976815636,0.980976091,0.891796446
321,1.0744377,1.0790309,1.0675799,0.976761545,0.980937182,0.891761075
322,1.0744097,1.0790122,1.067449,0.976736091,0.980920182,0.89174562
323,1.0743706,1.0789998,1.0661716,0.976700545,0.980908909,0.891735372
324,1.0743712,1.0789577,1.066994,0.976701091,0.980870636,0.891700578
325,1.0743155,1.0789431,1.0685939,0.976650455,0.980857364,0.891688513
326,1.0743459,1.0789583,1.0679792,0.976678091,0.980871182,0.891701075
327,1.074285,1.0789254,1.0684899,0.976622727,0.980841273,0.891673885
328,1.0742594,1.078907,1.0673405,0.976599455,0.980824545,0.891658677
329,1.0745344,1.0792269,1.0670813,0.976849455,0.981115364,0.891923058
330,1.075012,1.0796727,1.0669221,0.977283636,0.981520636,0.892291487
331,1.0751935,1.0798624,1.0645261,0.977448636,0.981693091,0.892448265
332,1.0751543,1.0797831,1.0644022,0.977413,0.981621,0.892382727
333,1.0750471,1.0797588,1.0695329,0.977315545,0.981598909,0.892362645
334,1.0750059,1.0796572,1.0687782,0.977278091,0.981506545,0.892278677
335,1.0749389,1.0796064,1.0702711,0.977217182,0.981460364,0.892236695
336,1.0751619,1.0798067,1.0703403,0.977419909,0.981642455,0.892402232
337,1.0754133,1.0800514,1.0703341,0.977648455,0.981864909,0.892604463
338,1.0756236,1.0802031,1.070029,0.977839636,0.982002818,0.892729835
339,1.0757637,1.0803508,1.0669992,0.977967,0.982137091,0.892851901
340,1.0758748,1.0804368,1.0679404,0.978068,0.982215273,0.892922975
341,1.0759256,1.0804888,1.0695685,0.978114182,0.982262545,0.89296595
342,1.0759102,1.0804645,1.0675119,0.978100182,0.982240455,0.892945868
343,1.0758578,1.0804534,1.0674061,0.978052545,0.982230364,0.892936695
344,1.0755669,1.0801029,1.0677824,0.977788091,0.981911727,0.892647025
345,1.0752485,1.0797704,1.0691404,0.977498636,0.981609455,0.892372232
346,1.074982,1.0795232,1.0690612,0.977256364,0.981384727,0.892167934
347,1.0747793,1.0793179,1.0690391,0.977072091,0.981198091,0.891998265
348,1.0746372,1.0792198,1.0676738,0.976942909,0.981108909,0.89191719
349,1.0745953,1.0791384,1.0654423,0.976904818,0.981034909,0.891849917
350,1.0745516,1.0790989,1.066672,0.976865091,0.980999,0.891817273
351,1.0745178,1.0790623,1.065249,0.976834364,0.980965727,0.891787025
352,1.0744298,1.0790235,1.067323,0.976754364,0.980930455,0.891754959
353,1.0744505,1.0790181,1.0683092,0.976773182,0.980925545,0.891750495
354,1.0744126,1.0789891,1.0690169,0.976738727,0.980899182,0.891726529
355,1.0743464,1.0789243,1.0677238,0.976678545,0.980840273,0.891672975
356,1.0743874,1.0789951,1.0607356,0.976715818,0.980904636,0.891731487
357,1.0745013,1.0790669,1.0674988,0.976819364,0.980969909,0.891790826
358,1.0744153,1.0789909,1.0650654,0.976741182,0.980900818,0.891728016
359,1.0742865,1.0788248,1.0649996,0.976624091,0.980749818,0.891590744
360,1.0741948,1.0787441,1.0678664,0.976540727,0.980676455,0.89152405
361,1.0741295,1.0786655,1.0684118,0.976481364,0.980605,0.891459091
362,1.074134,1.0786471,1.0682194,0.976485455,0.980588273,0.891443885
363,1.0743251,1.078869,1.0687932,0.976659182,0.98079,0.891627273
364,1.0744771,1.0790184,1.0692003,0.976797364,0.980925818,0.891750744
365,1.0746301,1.0791409,1.0691874,0.976936455,0.981037182,0.891851984
366,1.0746996,1.0792208,1.068893,0.976999636,0.981109818,0.891918016
367,1.0747268,1.0792735,1.0687414,0.977024364,0.981157727,0.89196157
368,1.0747845,1.0792698,1.0686384,0.977076818,0.981154364,0.891958513
369,1.0747989,1.0793127,1.0645186,0.977089909,0.981193364,0.891993967
370,1.0744324,1.0791715,1.0677253,0.976756727,0.981065,0.891877273
